image_no,label,prediction,cosine_dist
0.0,0.0,394.0,0.5145760774612427
10.0,0.0,133.0,1.2826606035232544
28.0,0.0,758.0,0.17624938488006592
39.0,0.0,693.0,0.8682934641838074
21.0,1.0,115.0,0.8877097964286804
26.0,1.0,328.0,0.9291241765022278
6.0,2.0,4.0,0.17682087421417236
13.0,2.0,148.0,0.34300392866134644
22.0,2.0,3.0,0.047392964363098145
29.0,2.0,4.0,0.17682087421417236
32.0,2.0,3.0,0.047392964363098145
34.0,2.0,3.0,0.047392964363098145
36.0,2.0,3.0,0.047392964363098145
37.0,2.0,3.0,0.047392964363098145
40.0,2.0,3.0,0.047392964363098145
42.0,2.0,147.0,0.4881311058998108
42.0,2.0,150.0,0.5852724313735962
1.0,3.0,149.0,0.39912712574005127
7.0,3.0,4.0,0.12109524011611938
8.0,3.0,4.0,0.12109524011611938
13.0,3.0,983.0,0.18321442604064941
17.0,3.0,2.0,0.05000936985015869
29.0,3.0,4.0,0.12109524011611938
30.0,3.0,149.0,0.39912712574005127
33.0,3.0,2.0,0.05000936985015869
36.0,3.0,147.0,0.9520134329795837
38.0,3.0,2.0,0.05000936985015869
39.0,3.0,2.0,0.05000936985015869
43.0,3.0,4.0,0.12109524011611938
45.0,3.0,4.0,0.12109524011611938
46.0,3.0,2.0,0.05000936985015869
1.0,4.0,6.0,0.3732449412345886
4.0,4.0,2.0,0.05757904052734375
11.0,4.0,913.0,0.8708202838897705
11.0,4.0,983.0,0.36593878269195557
30.0,4.0,5.0,0.2522801160812378
31.0,4.0,3.0,0.036038339138031006
36.0,4.0,391.0,0.5191526412963867
44.0,4.0,2.0,0.05757904052734375
48.0,4.0,394.0,0.21226942539215088
5.0,5.0,3.0,0.5222820043563843
17.0,5.0,6.0,0.06017798185348511
24.0,5.0,148.0,1.1042433977127075
26.0,5.0,6.0,0.06017798185348511
27.0,5.0,6.0,0.06017798185348511
29.0,5.0,3.0,0.5222820043563843
33.0,5.0,394.0,0.5557465553283691
33.0,5.0,395.0,0.6912280917167664
38.0,5.0,1.0,1.0041754245758057
41.0,5.0,6.0,0.06017798185348511
